strategy_name,regime_segment_id,regime,start_timestamp,end_timestamp,observations,start_nav,end_nav,segment_return,segment_compounded_return,segment_annualized_return,segment_annualized_volatility,segment_sharpe,segment_local_max_drawdown,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover,number_of_rebalances,circuit_breaker_events,average_health_factor,min_health_factor,average_idle_ratio,average_hedge_error,max_hedge_error
fractal_fixed_hedge_lp,545,high_vol_chop,2025-11-07 22:00:00+00:00,2025-11-08 07:00:00+00:00,10,106367.46597321866,106240.11681841282,-0.00119725663896042,-0.00015037039283216647,-0.12342619052870796,0.051555384798030346,-2.3940504180549422,-0.0013400475143735546,2.4982847815463174,0.9755960651833895,2.3270005923581016,0.0,0.0,0.0,0,0,1.9081920371121464,1.8989296263273991,0.19288345154972725,0.0,0.0
fractal_fixed_hedge_lp,546,sideways,2025-11-08 08:00:00+00:00,2025-11-08 09:00:00+00:00,2,106324.69983157783,106350.64433401226,0.00024401199792256634,0.001040355742344845,94.04870737507272,0.0365413241827609,2573.7629787221035,0.0,0.3526795540401508,0.19541846006480912,0.4654126461257922,0.0,0.0,0.0,0,0,1.9053137463643073,1.901251213809932,0.19284347629730225,0.0,0.0
fractal_fixed_hedge_lp,550,sideways,2025-11-08 13:00:00+00:00,2025-11-09 18:00:00+00:00,30,106243.88348582112,106397.53660012658,0.0014462302135818117,0.0014817824261976753,0.5408900678701514,0.07033934268829192,7.689723093761342,-0.0013235807105882458,8.075138564719055,2.9101146864642677,6.981784795857454,0.0,0.0,0.0,0,0,1.9197118053215634,1.854284740360304,0.1930118392245823,0.0,0.0
fractal_fixed_hedge_lp,551,uptrend,2025-11-09 19:00:00+00:00,2025-11-10 11:00:00+00:00,17,106450.52969717632,106633.06867624792,0.0017147775552726063,0.0022136985840806034,2.1250338945592415,0.059892168007743364,35.480998021051754,-0.001574396707368475,5.11105329777638,1.744528628774852,3.970976141455738,0.0,0.0,0.0,0,0,1.8210718343699583,1.8064521681038024,0.19238372810232518,0.0,0.0
fractal_fixed_hedge_lp,552,sideways,2025-11-10 12:00:00+00:00,2025-11-12 01:00:00+00:00,38,106600.63327665192,106274.426616143,-0.0030600818258025297,-0.003363328698659074,-0.5400523310590273,0.059754549740298556,-9.037844539138334,-0.00344678770453255,16.135731896734796,3.823022788340211,8.894193972745901,0.0,0.0,0.0,0,0,1.8616732694465206,1.8165018324063689,0.19255062317578311,0.0,0.0
fractal_fixed_hedge_lp,554,sideways,2025-11-12 03:00:00+00:00,2025-11-12 14:00:00+00:00,12,106294.03141785336,106392.07358426898,0.0009223675601333081,0.00089524328806867,0.9217481021175611,0.05924254848180034,15.558886741692543,-0.001394180908173115,3.8658410303305573,1.2022449509876894,2.8292262712374106,0.0,0.0,0.0,0,0,1.8830269769477532,1.836493267752335,0.19264396954264,0.0,0.0
fractal_fixed_hedge_lp,555,high_vol_chop,2025-11-12 15:00:00+00:00,2025-11-13 13:00:00+00:00,23,106310.65233412274,106348.11263287396,0.0003523663709021907,-0.0004131976181492858,-0.14564366617388302,0.0547685658151242,-2.659256528014905,-0.0022317358440188118,12.506346504489557,2.290874835597865,5.4397037614059975,0.0,0.0,0.0,0,0,1.8999948657371122,1.855261683742639,0.19266955457949858,0.0,0.0
fractal_fixed_hedge_lp,556,sideways,2025-11-13 14:00:00+00:00,2025-11-13 16:00:00+00:00,3,106448.56165032084,106174.11471503827,-0.002578211776915418,-0.0016361166505733937,-0.9916155219125371,0.1549109550069334,-6.401196880286195,-0.002578211776915418,3.9733253347085338,0.2931365829759282,0.7109596283333719,0.0,0.0,0.0,0,0,1.940675316078415,1.9077469859424996,0.19283971071622952,0.0,0.0
fractal_fixed_hedge_lp,557,downtrend,2025-11-13 17:00:00+00:00,2025-11-14 15:00:00+00:00,23,106073.1739085744,105935.63947664096,-0.0012965995724044665,-0.0022460770126255802,-0.5753222077296438,0.09758038714841238,-5.895879536270155,-0.0035528798213200208,25.508796544974757,2.101192283746854,5.40361156942427,0.0,0.0,0.0,0,0,2.057643725952899,2.018635085971712,0.19354703069019025,0.0,0.0
fractal_fixed_hedge_lp,558,high_vol_chop,2025-11-14 16:00:00+00:00,2025-11-15 18:00:00+00:00,27,106035.96660714282,106000.65938380823,-0.0003329740319659713,0.0006137680150750668,0.22027047713007875,0.06903560033337663,3.1906795344196435,-0.002892489347507854,14.149014322243602,2.440994644587377,6.319739719970731,0.0,0.0,0.0,0,0,2.071340635375741,2.0343285102294644,0.19357733182102713,0.0,0.0
