mc_scenario,mc_path_id,mc_seed,final_nav__buy_hold_50_50,final_nav__fractal_dynamic_aave_hedged_lp,final_nav__fractal_fixed_hedge_lp,final_nav__fractal_plain_uniswap_v2_lp,max_drawdown__buy_hold_50_50,max_drawdown__fractal_dynamic_aave_hedged_lp,max_drawdown__fractal_fixed_hedge_lp,max_drawdown__fractal_plain_uniswap_v2_lp,sharpe__buy_hold_50_50,sharpe__fractal_dynamic_aave_hedged_lp,sharpe__fractal_fixed_hedge_lp,sharpe__fractal_plain_uniswap_v2_lp,dynamic_minus_plain_final_nav,dynamic_minus_fixed_final_nav,dynamic_drawdown_improvement_vs_plain,dynamic_minus_plain_sharpe
high_vol_chop,9,100051,262947.13415754924,85819.6106160079,40751.71764638451,117829.59536801378,-0.3780164670987135,-0.596886606084501,-0.7701304077112342,-0.8501584298720304,2.3456996111585893,0.09639581322987514,-0.8416589399669601,0.8503552069802955,-32009.98475200587,45067.8929696234,0.25327182378752944,-0.7539593937504204
high_vol_chop,10,100052,73305.76832779378,1072539.0546236872,1072248.1762842773,2019371.46175722,-0.390369379820905,-0.8627393292820079,-0.8627301579012159,-0.8975508017842037,-0.561101015697878,2.174143036503166,2.1737628512197142,2.4848863147184623,-946832.4071335329,290.8783394098282,0.03481147250219574,-0.3107432782152961
high_vol_chop,11,100053,55995.58141344208,128754.44691414715,123245.07636976388,105986.84339100857,-0.47230852502262355,-0.5683661809474316,-0.5731915946795203,-0.8871545763546564,-2.075907328758406,0.7193495056327465,0.6477367858721227,0.7680339492265081,22767.603523138576,5509.370544383273,0.3187883954072248,-0.04868444359376167
sideways_low_vol,0,42,90135.31674546101,54878.133337166924,58370.031138048915,6010.360341024778,-0.17292103828780447,-0.4549059178089251,-0.4349401695222206,-0.941350931197955,-0.70685163064048,-1.6515418786990992,-1.4976115502802014,-1.289424627804301,48867.77299614214,-3491.8978008819904,0.4864450133890299,-0.3621172508947983
sideways_low_vol,1,43,84061.47305676396,100622.62282985818,102695.12863387872,89598.92387404558,-0.18730324362791861,-0.2857372304790654,-0.28227706150438914,-0.5178932962004572,-1.1816644491872523,0.20826988655645187,0.26048710975796646,0.30028832359850494,11023.698955812608,-2072.505804020533,0.2321560657213918,-0.09201843704205306
sideways_low_vol,2,44,114094.54585979099,192421.58721630502,193002.51735001267,296186.07653065433,-0.10579574292708249,-0.3986704787184766,-0.3979965026447778,-0.5224869918955206,0.9054981392787981,1.3549543999403064,1.3605909234383937,1.5870887451394364,-103764.48931434931,-580.9301337076467,0.12381651317704401,-0.23213434519913
sideways_low_vol,3,45,99870.97867042104,78306.14904012362,78724.5198493735,55407.760990509385,-0.17289980886045753,-0.3895541993542436,-0.4085009670959421,-0.7146539386344595,0.06826493713017484,-0.6460903566303379,-0.6116169856724406,-0.25409773357076876,22898.388049614237,-418.37080924987094,0.32509973928021585,-0.3919926230595691
sideways_low_vol,4,46,113569.06767715942,116535.30377779611,117775.74448137199,145308.2674611701,-0.07461098243915032,-0.25929248833053,-0.2578414291987836,-0.379526812630988,0.8846885113734164,0.5619269951253922,0.5853126285977805,0.8663866429978292,-28772.96368337398,-1240.4407035758777,0.120234324300458,-0.30445964787243696
sideways_low_vol,5,47,89518.83407758988,135690.0198127894,136336.82846609177,161494.92687132128,-0.16857122722197437,-0.3432511248865884,-0.34244402538227503,-0.6499982218837497,-0.727569847945809,0.9441653156942864,0.9562598072618516,0.9892678561083816,-25804.907058531884,-646.8086533023743,0.3067470969971613,-0.04510254041409523
sideways_low_vol,6,48,96344.77211865557,76599.47636017391,79350.50835158609,53499.16566535043,-0.16209428674640947,-0.3827087996571933,-0.3523296983709425,-0.7476684679230771,-0.179439919911388,-0.8260960192959081,-0.7084403715160728,-0.2923669391780654,23100.310694823478,-2751.031991412179,0.3649596682658838,-0.5337290801178427
