strategy_name,final_nav,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,turnover,number_of_rebalances,total_costs,average_health_factor,average_idle_ratio,mc_scenario,mc_path_id,mc_seed,mc_max_hedge_error,mc_lp_delta_change
buy_hold_50_50,98502.74431170149,-1497.2556882985082,-0.014974253411322969,0.14862988845521113,-0.027193051730531513,-0.1632877776706927,0.0,0,0.0,inf,0.0,sideways_low_vol,11,53,,
fractal_dynamic_aave_hedged_lp,136715.0811657899,36790.08116578989,0.3682259114433506,0.47075391514424464,0.9012327487380112,-0.238793745539581,72417.88618268626,47,777.4178861826863,1.8490811033340926,0.18758361666954168,sideways_low_vol,11,53,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,139351.90232860117,39426.902328601165,0.3946179001533572,0.4641678543239773,0.9485474706488443,-0.2261668002714622,0.0,0,0.0,1.9558897051206114,0.1877664807807006,sideways_low_vol,11,53,,
fractal_plain_uniswap_v2_lp,175393.2030141188,75543.2030141188,0.7566798629450073,0.856703490550446,1.0858001471701924,-0.4902427213203606,0.0,0,0.0,inf,0.0,sideways_low_vol,11,53,,
buy_hold_50_50,68306.62677633142,-31693.373223668576,-0.3169634564284687,0.3191611834731539,-1.0346637506769176,-0.41031777822344817,0.0,0,0.0,inf,0.0,high_vol_chop,0,100042,,
fractal_dynamic_aave_hedged_lp,65589.99340087324,-34335.00659912676,-0.34363932021154164,0.4022591241516203,-0.845518976016571,-0.5281485300427253,159075.98640596506,236,3699.075986405965,12.798993144578928,0.2318736650427791,high_vol_chop,0,100042,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,67509.49806436732,-32415.50193563268,-0.3244285649670151,0.41434498557719424,-0.7393323592071669,-0.5224615023590927,0.0,0,0.0,4.191326161693402,0.2615213527125674,high_vol_chop,0,100042,,
fractal_plain_uniswap_v2_lp,5221.091224546202,-94628.90877545378,-0.9477282673801762,1.4706987266929141,-1.270862126512356,-0.9779130057706875,0.0,0,0.0,inf,0.0,high_vol_chop,0,100042,,
buy_hold_50_50,117943.08391075066,17943.08391075066,0.17945306146658258,0.5863276099762614,0.5746052518640342,-0.5109067276736796,0.0,0,0.0,inf,0.0,high_vol_chop,1,100043,,
fractal_dynamic_aave_hedged_lp,60972.63022448731,-38952.36977551269,-0.3898504723139008,0.7628303357493638,-0.266221930740507,-0.5453858457423615,353874.04187301855,211,3518.8740418730185,2.219755682566307,0.06466347611631644,high_vol_chop,1,100043,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,69373.88314772192,-30551.11685227808,-0.3057693968798756,0.834026905975519,-0.020600780952871444,-0.5688543144286001,0.0,0,0.0,1.2370941335857941,0.25936011825890104,high_vol_chop,1,100043,,
fractal_plain_uniswap_v2_lp,53152.726673338424,-46697.273326661576,-0.4677125616932156,1.4641378742461544,0.3010307942826634,-0.7164425163964375,0.0,0,0.0,inf,0.0,high_vol_chop,1,100043,,
buy_hold_50_50,64330.10750835424,-35669.89249164576,-0.3567313236209666,0.364803801104403,-1.0268180623243897,-0.5064204682751485,0.0,0,0.0,inf,0.0,high_vol_chop,2,100044,,
fractal_dynamic_aave_hedged_lp,98812.52934670023,-1112.4706532997661,-0.011134320264676312,0.7204900846788324,0.3444544603442349,-0.4862168908225907,202880.1184340077,131,2167.8801184340077,2.2628181245038275,0.22594941451195305,high_vol_chop,2,100044,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,96030.69409849947,-3894.3059015005274,-0.03897664977012394,0.7199485465443002,0.304522046186972,-0.5317869091992152,0.0,0,0.0,3.937026710081728,0.18228167451058086,high_vol_chop,2,100044,,
fractal_plain_uniswap_v2_lp,59117.32135326865,-40732.67864673135,-0.40797412283914636,1.4792317547297034,0.3844552514036819,-0.8442376535926622,0.0,0,0.0,inf,0.0,high_vol_chop,2,100044,,
buy_hold_50_50,66647.02130731056,-33352.978692689445,-0.33356066038025534,0.3843429494378459,-0.8635357451240557,-0.3522814946473991,0.0,0,0.0,inf,0.0,high_vol_chop,3,100045,,
fractal_dynamic_aave_hedged_lp,102426.58492917506,2501.5849291750637,0.025037518906604772,1.7927582176819925,0.9089039137614097,-0.8745927442045056,611787.3929379911,342,5741.787392937991,2.666614034729818,0.1919187606315881,high_vol_chop,3,100045,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,112165.50350555647,12240.503505556466,0.12251171669211436,1.758185372381245,0.9434944907396113,-0.8658793072029435,0.0,0,0.0,3.0248205750975585,0.19611219886725453,high_vol_chop,3,100045,,
fractal_plain_uniswap_v2_lp,93420.52184713731,-6429.478152862692,-0.06439847807119614,3.097379026796177,1.5220143926592289,-0.9711816106956354,0.0,0,0.0,inf,0.0,high_vol_chop,3,100045,,
buy_hold_50_50,128946.88759233116,28946.887592331157,0.28950630336456507,0.37690851749225535,0.8629461690509846,-0.47640658868563945,0.0,0,0.0,inf,0.0,high_vol_chop,4,100046,,
